"","TIME:","2017-09-13T11:26:47-0700","",""
"","USER ID:","ADMIN-UCSF-cp403","",""
"","User Name:","cp403","",""
"","User Age:","10","",""
"","User Grade:","4","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","37","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","NO","",""
"Stimulus Array Time","Tap 11 RT","Point 10 RT","Point 14 RT","Object Count","Tap 1 RT","Tap 14 RT","Point 1 RT","Tap 2 RT","Point 2 RT","Correct Button","Response Time","Point 6 RT","Point 7 RT","Point 8 RT","Point 3 RT","Point 9 RT","Point 4 RT","Point 5 RT","Tap 12 RT","Tap 3 RT","Tap 4 RT","Point 11 RT","Point 15 RT","Total Taps","Tap 5 RT","Tap 15 RT","Tap 6 RT","Tap 10 RT","Point 12 RT","Tap 7 RT","Tap 8 RT","Tap 13 RT","Tap 9 RT","Point 13 RT",
"3019.465982913971","N/A","N/A","N/A","3","623.4560012817383","N/A","{906, 269}","934.5340132713318","{131, 288}","1","1925.297021865845","N/A","N/A","N/A","{299, 151}","N/A","N/A","N/A","N/A","1423.147022724152","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3022.631049156189","N/A","N/A","N/A","3","690.125048160553","N/A","{316, 666}","N/A","{135, 621}","0","1192.202031612396","N/A","N/A","N/A","{930, 399}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3019.190013408661","N/A","N/A","N/A","3","643.1440114974976","N/A","{133, 478}","976.531982421875","{930, 399}","1","1890.305995941162","N/A","N/A","N/A","{849, 595}","N/A","N/A","N/A","N/A","1388.179957866669","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4026.479959487915","N/A","N/A","N/A","4","1189.400017261505","N/A","{589, 212}","N/A","{849, 595}","0","1691.47402048111","N/A","N/A","N/A","{478, 685}","N/A","{408, 295}","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4027.473032474518","N/A","N/A","N/A","4","1051.115989685059","N/A","{372, 502}","1650.696992874146","{135, 621}","0","2852.430999279022","N/A","N/A","N/A","{666, 607}","N/A","{478, 685}","N/A","N/A","2350.340008735657","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",






"","TIME:","2017-09-26T09:09:08-0700","",""
"","USER ID:","ADMIN-UCSF-la100","",""
"","User Name:","la100","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","MALE","",""
"","User Handedness:","LEFT","",""
"","iPad Number:","37","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","NO","",""
"Stimulus Array Time","Tap 11 RT","Point 10 RT","Point 14 RT","Object Count","Tap 1 RT","Tap 14 RT","Point 1 RT","Tap 2 RT","Point 2 RT","Correct Button","Response Time","Point 6 RT","Point 7 RT","Point 8 RT","Point 3 RT","Point 9 RT","Point 4 RT","Point 5 RT","Tap 12 RT","Tap 3 RT","Tap 4 RT","Point 11 RT","Point 15 RT","Total Taps","Tap 5 RT","Tap 15 RT","Tap 6 RT","Tap 10 RT","Point 12 RT","Tap 7 RT","Tap 8 RT","Tap 13 RT","Tap 9 RT","Point 13 RT",
"3021.400988101959","N/A","N/A","N/A","3","851.065993309021","N/A","{471, 271}","1303.222000598907","{646, 692}","1","2186.410009860992","N/A","N/A","N/A","{222, 225}","N/A","N/A","N/A","N/A","1684.34202671051","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3021.778047084808","N/A","N/A","N/A","3","1021.275997161865","N/A","{646, 692}","1337.767958641052","{873, 573}","1","2175.059974193573","N/A","N/A","N/A","{784, 317}","N/A","N/A","N/A","N/A","1672.775983810425","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
