"","TIME:","2017-09-08T09:49:36-0700","",""
"","USER ID:","ADMIN-UCSF-bo008","",""
"","User Name:","bo008","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","19","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 12;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    MemoryTime = 200;
    "P-Start" = 1500;
    Practice = 4;
    RetentionTime = 900;
    Start = 1000;
    TRI = 200;
    TestTime = 2000;
}","",""
"R4B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","1","-0.7853981852531433","1500","0","Easy","3.141592741012573","1288.96701335907","0","4",
"1","0","-0.7853981852531433","1500","0","Easy","0","790.9500002861023","0","4",
"0","1","-0.7853981852531433","1500","0","Medium","0.5235987901687622","996.148943901062","0","4",
"1","0","1.047197580337524","1500","0","Medium","0","564.2300248146057","0","4",
"1","0","0.7853981852531433","1500","0","Medium","0","331.995964050293","0","4",
"1","0","-0.2617993950843811","1500","0","Hard","0","279.5960307121277","0","4",
"1","0","-0.2617993950843811","1500","0","Hard","0","708.5319757461548","0","4",
"0","1","1.047197580337524","1500","0","Hard","-0.2617993950843811","N/A","0","4",
"0","1","-1.308996915817261","1500","0","Hard","0.7853981852531433","278.7010073661804","0","4",
"1","1","-0.5235987901687622","1500","0","Medium","0.5235987901687622","992.6579594612122","0","4",
"0","1","1.570796370506287","1500","0","Medium","1.047197580337524","1342.944025993347","0","4",
"0","0","1.047197580337524","1500","0","Medium","0","1614.072024822235","0","4",


"R2B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"0","1","1.570796370506287","1500","2","Medium","-0.7853981852531433","642.6500082015991","0","2",
"1","0","-0.5235987901687622","1500","2","Medium","0","993.9420223236084","0","2",
"1","0","1.570796370506287","1500","2","Medium","0","575.8450031280518","0","2",
"1","0","-0.7853981852531433","1500","2","Hard","0","343.4739708900452","0","2",
"1","0","3.141592741012573","1500","2","Hard","0","499.9109506607056","0","2",
"0","1","0.5235987901687622","1500","2","Hard","0.7853981852531433","406.046986579895","0","2",
"0","1","3.141592741012573","1500","2","Hard","-1.047197580337524","N/A","0","2",
"0","1","0.5235987901687622","1500","2","Medium","1.047197580337524","295.0000166893005","0","2",
"1","0","0.5235987901687622","1500","2","Medium","0","484.527051448822","0","2",
"0","1","-0.5235987901687622","1500","2","Medium","-1.047197580337524","321.1609721183777","0","2",
"0","0","1.047197580337524","1500","2","Medium","0","989.7419810295105","0","2",
"0","1","3.141592741012573","1500","2","Easy","-0.7853981852531433","407.7879786491394","0","2",


"R2B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","1","0.7853981852531433","1500","0","Easy","-0.7853981852531433","1051.844000816345","0","2",
"1","0","3.141592741012573","1500","0","Easy","0","889.6960020065308","0","2",
"1","1","-0.7853981852531433","1500","0","Medium","0.7853981852531433","788.2170081138611","0","2",
"0","1","0.7853981852531433","1500","0","Medium","0.5235987901687622","781.5609574317932","0","2",
"0","0","3.141592741012573","1500","0","Medium","0","N/A","0","2",
"1","0","0.7853981852531433","1500","0","Easy","0","1005.218982696533","0","2",
"1","0","0.7853981852531433","1500","0","Easy","0","387.5710368156433","0","2",
"1","0","-0.7853981852531433","1500","0","Medium","0","581.0339450836182","0","2",
"0","1","0.7853981852531433","1500","0","Medium","0.5235987901687622","700.9149789810181","0","2",
"0","0","0.7853981852531433","1500","0","Medium","0","N/A","0","2",
"1","1","3.141592741012573","1500","0","Easy","-0.7853981852531433","1048.976957798004","0","2",
"0","1","0.7853981852531433","1500","0","Easy","1.570796370506287","661.3600254058838","0","2",


"R4B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"0","1","0.7853981852531433","1500","2","Easy","3.141592741012573","533.9940190315247","0","4",
"0","0","0.7853981852531433","1500","2","Easy","0","N/A","0","4",
"0","1","0.7853981852531433","1500","2","Easy","3.141592741012573","N/A","0","4",
