"","TIME:","2017-09-28T09:03:57-0700","",""
"","USER ID:","ADMIN-UCSF-pe193","",""
"","User Name:","pe193","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","WHITE","800","CONGRUENT","431.9109916687012","0","WHITE",
"1","YELLOW","800","INCONGRUENT","602.961003780365","0","YELLOW",
"1","YELLOW","790","CONGRUENT","551.5080094337463","0","YELLOW",
"0","YELLOW","790","INCONGRUENT","700.1859545707703","0","GREEN",
"0","YELLOW","830","INCONGRUENT","N/A","0","N/A",
"1","RED","780","CONGRUENT","616.7960166931152","0","RED",
"1","YELLOW","760","CONGRUENT","499.8030066490173","0","YELLOW",
"1","RED","720","CONGRUENT","712.8440141677856","0","RED",
"1","YELLOW","640","CONGRUENT","553.600013256073","0","YELLOW",
"1","WHITE","480","CONGRUENT","599.2600321769714","1","WHITE",
"1","RED","470","CONGRUENT","669.4560050964355","1","RED",
"1","YELLOW","460","CONGRUENT","608.4870100021362","1","YELLOW",
"0","YELLOW","870","INCONGRUENT","N/A","0","N/A",
"1","YELLOW","950","INCONGRUENT","615.4049634933472","0","YELLOW",
"1","YELLOW","940","INCONGRUENT","480.8799624443054","0","YELLOW",
"1","GREEN","450","CONGRUENT","433.5429668426514","0","GREEN",
"1","YELLOW","440","CONGRUENT","497.2180128097534","1","YELLOW",
"1","WHITE","430","CONGRUENT","638.4689807891846","1","WHITE",
"1","YELLOW","930","INCONGRUENT","454.5309543609619","0","YELLOW",
"1","RED","420","CONGRUENT","515.6660079956055","1","RED",
"0","WHITE","410","CONGRUENT","531.6399931907654","1","YELLOW",
"1","GREEN","910","INCONGRUENT","705.7099938392639","0","GREEN",
"1","YELLOW","870","INCONGRUENT","596.2600111961365","0","YELLOW",
"0","YELLOW","790","INCONGRUENT","630.5879950523376","0","GREEN",
"1","RED","570","CONGRUENT","613.4840250015259","1","RED",
"0","WHITE","560","CONGRUENT","670.524001121521","1","YELLOW",
"1","GREEN","1200","CONGRUENT","585.4089856147766","0","GREEN",
"1","WHITE","830","INCONGRUENT","428.0810356140137","0","WHITE",
"1","RED","1190","CONGRUENT","553.7309646606445","0","RED",
"1","GREEN","1180","CONGRUENT","683.8099956512451","0","GREEN",
"1","YELLOW","1160","CONGRUENT","577.6939988136292","0","YELLOW",
"1","WHITE","1120","CONGRUENT","145.4020142555237","1","WHITE",
"0","GREEN","820","INCONGRUENT","607.1289777755737","0","RED",
"1","GREEN","1040","CONGRUENT","615.7839894294739","0","GREEN",
"1","WHITE","880","CONGRUENT","660.4080200195312","0","WHITE",
"1","GREEN","560","CONGRUENT","675.6349802017212","1","GREEN",
"1","WHITE","550","CONGRUENT","593.1270122528076","1","WHITE",
"1","GREEN","540","CONGRUENT","393.5559988021851","0","GREEN",
"1","GREEN","530","CONGRUENT","466.5459990501404","0","GREEN",
"1","RED","520","CONGRUENT","591.7890071868896","1","RED",
"1","YELLOW","510","CONGRUENT","533.0410003662109","1","YELLOW",
"1","GREEN","500","CONGRUENT","658.9420437812805","1","GREEN",
"0","YELLOW","860","INCONGRUENT","509.1840028762817","0","WHITE",
"1","WHITE","490","CONGRUENT","686.5889430046082","1","WHITE",
"1","WHITE","480","CONGRUENT","415.8429503440857","0","WHITE",
"0","YELLOW","900","INCONGRUENT","590.6460285186768","0","GREEN",
"1","GREEN","470","CONGRUENT","515.3509974479675","1","GREEN",
"1","YELLOW","460","CONGRUENT","607.2409749031067","1","YELLOW",
"1","GREEN","980","INCONGRUENT","1001.406967639923","1","GREEN",
"1","YELLOW","450","CONGRUENT","533.053994178772","1","YELLOW",






"","TIME:","2017-09-28T13:56:59-0700","",""
"","USER ID:","ADMIN-UCSF-pe053","",""
"","User Name:","pe053","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","RED","800","CONGRUENT","673.5950112342834","0","RED",
"1","WHITE","790","CONGRUENT","499.2059469223022","0","WHITE",
"1","YELLOW","780","CONGRUENT","567.81405210495","0","YELLOW",
"1","GREEN","760","CONGRUENT","391.1400437355042","0","GREEN",
"1","RED","720","CONGRUENT","459.6579670906067","0","RED",
"1","GREEN","640","CONGRUENT","541.3669943809509","0","GREEN",
"1","YELLOW","800","INCONGRUENT","584.7220420837402","0","YELLOW",
"1","WHITE","480","CONGRUENT","399.2589712142944","0","WHITE",
"0","YELLOW","160","CONGRUENT","473.2609987258911","1","WHITE",
"1","GREEN","200","CONGRUENT","547.9789972305298","1","GREEN",
"1","GREEN","190","CONGRUENT","432.6069951057434","1","GREEN",
"1","YELLOW","180","CONGRUENT","564.7599697113037","1","YELLOW",
"1","WHITE","170","CONGRUENT","372.8209733963013","1","WHITE",
"1","RED","160","CONGRUENT","512.3929977416992","1","RED",
"1","RED","150","CONGRUENT","389.7939920425415","1","RED",
"1","YELLOW","790","INCONGRUENT","640.0519609451294","0","YELLOW",
"1","YELLOW","780","INCONGRUENT","381.4879655838013","0","YELLOW",
"1","GREEN","140","CONGRUENT","420.4950332641602","1","GREEN",
"1","GREEN","130","CONGRUENT","522.3550200462341","1","GREEN",
"1","RED","120","CONGRUENT","463.0129933357239","1","RED",
