"","TIME:","2017-09-08T09:26:35-0700","",""
"","USER ID:","ADMIN-UCSF-bo034","",""
"","User Name:","bo034","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"0","800","N/A","0","0","1",
"1","800","624.9909996986389","0","2","1",
"1","800","566.9919848442078","0","1","0",
"0","790","722.7590084075928","0","2","0",
"0","830","N/A","0","2","0",
"0","790","739.2329573631287","0","1","1",
"1","870","631.4210295677185","0","2","1",
"0","830","738.2509708404541","0","1","0",
"1","860","669.2309975624084","0","2","0",
"0","870","N/A","0","1","1",
"1","850","559.0199828147888","0","2","1",
"1","950","699.9199986457825","0","1","0",
"1","830","534.259021282196","0","2","0",
"0","940","665.9330129623413","0","1","1",
"1","790","599.806010723114","0","2","1",
"0","710","N/A","1","2","1",
"1","980","598.4700322151184","0","1","0",
"1","750","618.4020042419434","0","2","0",
"1","740","748.6470341682434","1","2","0",
"0","970","749.8160004615784","0","1","1",
"0","730","N/A","1","2","1",
"1","1010","737.0050549507141","0","1","0",
"0","770","432.1990013122559","0","2","0",
"0","1000","800.6410002708435","0","1","1",
"0","850","N/A","1","2","1",
"1","1010","590.0179743766785","0","2","1",
"0","1000","N/A","1","2","1",
"1","1040","717.1779870986938","0","2","1",
"1","1030","883.5330009460449","0","2","1",
"0","1020","856.4879894256592","0","2","1",






"","TIME:","2017-10-02T12:15:31-0700","",""
"","USER ID:","ADMIN-UCSF-pe456","",""
"","User Name:","pe456","",""
"","User Age:","11","",""
"","User Grade:","6","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"1","800","621.429979801178","0","0","1",
"1","800","582.8139781951904","0","2","1",
"1","800","453.6389708518982","0","1","0",
"1","790","467.7209854125977","0","2","0",
"1","780","468.1069850921631","0","2","0",
"0","790","487.9769682884216","0","1","1",
"1","760","436.7310404777527","0","2","1",
"0","830","N/A","0","1","0",
"1","720","397.212028503418","0","2","0",
"1","640","565.3480291366577","0","2","0",
"0","870","467.6330089569092","0","1","1",
"0","480","585.1509571075439","1","2","1",
"0","950","635.1869702339172","0","1","0",
"0","520","N/A","1","2","0",
"1","1110","815.6909942626953","0","1","1",
"1","560","434.1380000114441","0","2","1",
"1","1100","730.6810021400452","0","1","0",
"1","550","983.3680391311646","1","2","0",
"1","540","767.0760154724121","1","2","0",
"0","1090","966.376006603241","0","1","1",
"0","530","980.0679683685303","1","2","1",
"1","610","565.1939511299133","0","2","1",
"1","1130","997.1790313720703","0","1","0",
"1","600","945.2289938926697","1","2","0",
"0","590","N/A","1","2","0",
"1","1120","654.5230150222778","0","1","1",
"1","630","316.4820075035095","0","2","1",
"1","620","499.8670220375061","0","2","1",
"1","610","463.1659984588623","0","2","1",
"1","590","796.8969941139221","1","2","1",






"","TIME:","2017-10-03T09:20:42-0700","",""
"","USER ID:","ADMIN-UCSF-pe590","",""
"","User Name:","pe590","",""
"","User Age:","11","",""
"","User Grade:","6","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"0","800","787.2819900512695","0","0","1",
"1","800","521.028995513916","0","2","1",
"1","790","437.9009604454041","0","2","1",
"1","800","596.2700247764587","0","1","0",
"0","780","N/A","1","2","0",
"1","820","618.6749935150146","0","2","0",
"1","790","584.6349596977234","0","1","1",
"1","810","451.3239860534668","0","2","1",
"1","800","382.7150464057922","0","2","1",
"1","780","631.1519742012024","0","1","0",
"1","780","527.5799632072449","0","2","0",
"0","760","614.6660447120667","0","1","1",
"1","740","762.6240253448486","1","2","1",
"1","730","702.6939988136292","0","2","1",
"0","800","619.376003742218","0","1","0",
"0","720","512.2889876365662","0","2","0",
"0","760","N/A","1","2","0",
"1","840","591.9710397720337","0","1","1",
"0","800","800.4299998283386","1","2","1",
"1","830","559.302031993866","0","1","0",
"1","880","686.1469745635986","0","2","0",
"1","870","330.715000629425","0","2","0",
"1","820","784.1939926147461","0","1","1",
"1","860","547.7709770202637","0","2","1",
"1","800","433.434009552002","0","1","0",
"1","840","664.7860407829285","0","2","0",
"1","800","609.3420386314392","0","2","0",
"0","760","N/A","1","1","1",
"0","720","N/A","1","2","1",
"1","760","712.7879858016968","0","2","1",






"","TIME:","2017-10-03T13:12:45-0700","",""
"","USER ID:","ADMIN-UCSF-pe652","",""
"","User Name:","pe652","",""
"","User Age:","11","",""
"","User Grade:","6","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
