Participant ID,Created At,Updated At,, O S Version,Age,App Id,Build,Client Time Zone,Client Time Zone Offset,Device Model,Device Type,Games Map Dialog Stage,Games Play Count,Games Scores,Gender,Graphics Device Name,Handedness,I18n,Install Mode,Processor Count,Processor Frequency,Runtime Platform,Section,System Memory Size,Times Finished Game
ATRA096H0DE,2019-12-11T13:14:19.000Z,2019-12-16T22:44:58.000Z,,Windows 10,41,ACE Explorer,1.13.5sB2,Eastern Standard Time,-5,Edge 18.17763,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":2,""playCount"":3},{""gameName"":""WTNumber"",""lastPlaySession"":2,""playCount"":3},{""gameName"":""Filter"",""lastPlaySession"":2,""playCount"":3},{""gameName"":""SpatialCueing"",""lastPlaySession"":2,""playCount"":3},{""gameName"":""FlankerArrow"",""lastPlaySession"":2,""playCount"":3},{""gameName"":""TNT"",""lastPlaySession"":2,""playCount"":3},{""gameName"":""SAAT"",""lastPlaySession"":2,""playCount"":3},{""gameName"":""ColorPicking"",""lastPlaySession"":2,""playCount"":3}]","[{""gameName"":""BRT"",""highScore"":53160,""score"":53160},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SpatialCueing"",""highScore"":70510,""score"":70510},{""gameName"":""Filter"",""highScore"":30800,""score"":27370},{""gameName"":""FlankerArrow"",""highScore"":88310,""score"":43030},{""gameName"":""TNT"",""highScore"":160840,""score"":141380},{""gameName"":""ColorPicking"",""highScore"":37500,""score"":20700},{""gameName"":""SAAT"",""highScore"":35110,""score"":35110}]",UNDEFINED,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,3
ATRA10YY87V,2019-12-11T07:15:20.000Z,2019-12-11T07:41:41.000Z,,Windows 10,35,ACE Explorer,1.13.5sA2,Mountain Standard Time,-7,Chrome 78,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":40100,""score"":40100},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""Boxed"",""highScore"":173590,""score"":173590},{""gameName"":""ADP"",""highScore"":61970,""score"":61970},{""gameName"":""SpatialSpan"",""highScore"":5000,""score"":5000},{""gameName"":""TaskSwitch2"",""highScore"":94930,""score"":94930},{""gameName"":""SpatialSpanReverse"",""highScore"":4000,""score"":4000},{""gameName"":""Stroop"",""highScore"":45840,""score"":45840}]",UNDEFINED,ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,1
ATRA11C3J9D,2019-12-11T07:32:09.000Z,2019-12-12T03:40:07.000Z,,Windows 10,35,ACE Explorer,1.13.5sA1,Central Standard Time,-6,Chrome 78,Desktop,0,,,UNDEFINED,ANGLE (Intel(R) 4 Series Internal Chipset Direct3D9Ex vs_3_0 ps_3_0),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,0
ATRA12KCHCS,2019-12-16T18:16:43.000Z,2019-12-16T22:43:23.000Z,,Windows 7,58,ACE Explorer,1.13.5sB2,Pacific Standard Time,-8,Chrome 79,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""WTNumber"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""Filter"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""SpatialCueing"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""FlankerArrow"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""TNT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""SAAT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""ColorPicking"",""lastPlaySession"":1,""playCount"":2}]","[{""gameName"":""BRT"",""highScore"":27530,""score"":27530},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SAAT"",""highScore"":27600,""score"":9890},{""gameName"":""ColorPicking"",""highScore"":-8400,""score"":-8400},{""gameName"":""TNT"",""highScore"":70700,""score"":63100},{""gameName"":""FlankerArrow"",""highScore"":19000,""score"":16200},{""gameName"":""Filter"",""highScore"":15700,""score"":8200},{""gameName"":""SpatialCueing"",""highScore"":18690,""score"":-13300}]",UNDEFINED,ANGLE (Intel(R) G41 Express Chipset Direct3D9Ex vs_3_0 ps_3_0),LEFT,English,Unknown,1,0,WebGLPlayer,None,512,2
ATRA14YHNC4,2019-10-25T17:44:05.000Z,2019-10-25T17:49:58.000Z,,Windows 10,56,ACE Explorer,1.13.5sA1,Pacific Standard Time,-7,Chrome 77,Desktop,1,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""ADP"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialSpan"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""Stroop"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""TaskSwitch2"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""Boxed"",""lastPlaySession"":-1,""playCount"":0}]","[{""gameName"":""BRT"",""highScore"":38280,""score"":38280},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500}]",UNDEFINED,ANGLE (AMD Radeon HD 6800 Series Direct3D11 vs_5_0 ps_5_0),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,0
ATRA15W377Y,2019-10-25T18:13:10.000Z,2019-10-26T18:12:46.000Z,,Windows 7,63,ACE Explorer,1.13.5sB1,Eastern Standard Time,-4,Firefox 70,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""WTNumber"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""Filter"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""SpatialCueing"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""FlankerArrow"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""TNT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""SAAT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""ColorPicking"",""lastPlaySession"":1,""playCount"":2}]","[{""gameName"":""BRT"",""highScore"":30670,""score"":30670},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SpatialCueing"",""highScore"":56430,""score"":42600},{""gameName"":""Filter"",""highScore"":35090,""score"":12150},{""gameName"":""FlankerArrow"",""highScore"":33510,""score"":27650},{""gameName"":""TNT"",""highScore"":89970,""score"":81200},{""gameName"":""ColorPicking"",""highScore"":42000,""score"":42000},{""gameName"":""SAAT"",""highScore"":17630,""score"":16490}]",UNDEFINED,ANGLE (Intel(R) HD Graphics Direct3D11 vs_4_0 ps_4_0),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,2
ATRA17773v7,2019-10-25T18:33:13.000Z,2019-10-25T19:00:17.000Z,,Windows 10,30,ACE Explorer,1.13.5sB2,Eastern Standard Time,-4,Chrome 77,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":44540,""score"":44540},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SpatialCueing"",""highScore"":45470,""score"":45470},{""gameName"":""Filter"",""highScore"":20760,""score"":20760},{""gameName"":""FlankerArrow"",""highScore"":38060,""score"":38060},{""gameName"":""TNT"",""highScore"":81330,""score"":81330},{""gameName"":""ColorPicking"",""highScore"":19900,""score"":19900},{""gameName"":""SAAT"",""highScore"":23640,""score"":23640}]",UNDEFINED,ANGLE (AMD Radeon HD 8650G Direct3D11 vs_5_0 ps_5_0),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,1
ATRA17773VZ,2019-10-25T21:16:20.000Z,2019-10-25T21:40:36.000Z,,Windows 10,30,ACE Explorer,1.13.5sB1,Eastern Standard Time,-4,Chrome 77,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":30620,""score"":30620},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SAAT"",""highScore"":23180,""score"":23180},{""gameName"":""ColorPicking"",""highScore"":42000,""score"":42000},{""gameName"":""TNT"",""highScore"":71230,""score"":71230},{""gameName"":""FlankerArrow"",""highScore"":27180,""score"":27180},{""gameName"":""Filter"",""highScore"":34780,""score"":34780},{""gameName"":""SpatialCueing"",""highScore"":50730,""score"":50730}]",UNDEFINED,ANGLE (AMD Radeon HD 8650G Direct3D11 vs_5_0 ps_5_0),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,1
ATRA18QEXQB,2019-12-16T23:42:38.000Z,2019-12-17T00:08:33.000Z,,Windows 10,49,ACE Explorer,1.13.5sA1,Eastern Standard Time,-5,Chrome 78,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":35730,""score"":35730},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""TaskSwitch2"",""highScore"":36280,""score"":36280},{""gameName"":""Stroop"",""highScore"":30100,""score"":30100},{""gameName"":""SpatialSpanReverse"",""highScore"":3000,""score"":3000},{""gameName"":""ADP"",""highScore"":40580,""score"":40580},{""gameName"":""SpatialSpan"",""highScore"":5000,""score"":5000},{""gameName"":""Boxed"",""highScore"":118230,""score"":118230}]",UNDEFINED,Google SwiftShader,RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,1
ATRA19AQ7G9,2019-12-13T01:37:18.000Z,2019-12-17T03:12:57.000Z,,Windows 10,52,ACE Explorer,1.13.5sB2,Central Standard Time,-6,Firefox 71,Desktop,2,"[{""gameName"":""BRT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""WTNumber"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""Filter"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""SpatialCueing"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""FlankerArrow"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""TNT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""SAAT"",""lastPlaySession"":1,""playCount"":2},{""gameName"":""ColorPicking"",""lastPlaySession"":1,""playCount"":2}]","[{""gameName"":""BRT"",""highScore"":43000,""score"":43000},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SpatialCueing"",""highScore"":63730,""score"":43760},{""gameName"":""Filter"",""highScore"":12240,""score"":9720},{""gameName"":""FlankerArrow"",""highScore"":92470,""score"":45790},{""gameName"":""TNT"",""highScore"":112690,""score"":112690},{""gameName"":""ColorPicking"",""highScore"":42000,""score"":42000},{""gameName"":""SAAT"",""highScore"":22620,""score"":20020}]",UNDEFINED,ANGLE (Intel(R) HD Graphics Direct3D11 vs_4_1 ps_4_1),RIGHT,English,Unknown,1,0,WebGLPlayer,None,512,2
