"Participant ID","Created At","Updated At",""," O S Version","Age","App Id","Build","Client Time Zone","Client Time Zone Offset","Device Model","Device Type","Games Map Dialog Stage","Games Play Count","Games Scores","Gender","Graphics Device Name","Handedness","I18n","Install Mode","Processor Count","Processor Frequency","Runtime Platform","Section","System Memory Size","Times Finished Game"
"NSinternal_AG","2020-05-19T23:18:07.000Z","2020-05-20T00:37:16.000Z","","Mac OS X 10_15_4","51","ACE Explorer","1.16.35","PST","-7","Safari 13.1","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":12800,""score"":12800},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""ADP"",""highScore"":33200,""score"":33200},{""gameName"":""FlankerArrow"",""highScore"":40530,""score"":40530},{""gameName"":""SpatialCueing"",""highScore"":46080,""score"":46080},{""gameName"":""Stroop"",""highScore"":22160,""score"":22160},{""gameName"":""TaskSwitch2"",""highScore"":29720,""score"":29720},{""gameName"":""TNT"",""highScore"":33990,""score"":33990},{""gameName"":""SAATSustained"",""highScore"":84530,""score"":84530},{""gameName"":""Boxed"",""highScore"":71460,""score"":71460},{""gameName"":""ColorPicking"",""highScore"":6800,""score"":6800},{""gameName"":""SpatialSpanReverse"",""highScore"":4970,""score"":4970},{""gameName"":""SpatialSpan"",""highScore"":4970,""score"":4970},{""gameName"":""SAAT"",""highScore"":168120,""score"":168120},{""gameName"":""Filter"",""highScore"":11420,""score"":11420}]","UNDEFINED","Intel(R) UHD Graphics 630","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSinternal_AM","2020-05-25T22:43:07.000Z","2020-05-25T23:54:58.000Z","","Mac OS X 10_13_6","21","ACE Explorer","1.16.36","PST","-7","Safari 12.1","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":51440,""score"":51440},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""Stroop"",""highScore"":28840,""score"":28840},{""gameName"":""FlankerArrow"",""highScore"":29350,""score"":29350},{""gameName"":""Boxed"",""highScore"":90640,""score"":90640},{""gameName"":""SAATSustained"",""highScore"":78210,""score"":78210},{""gameName"":""SpatialSpanReverse"",""highScore"":14200,""score"":14200},{""gameName"":""SpatialSpan"",""highScore"":9940,""score"":9940},{""gameName"":""ColorPicking"",""highScore"":16200,""score"":16200},{""gameName"":""SpatialCueing"",""highScore"":119340,""score"":119340},{""gameName"":""SAAT"",""highScore"":142980,""score"":142980},{""gameName"":""Filter"",""highScore"":17200,""score"":17200},{""gameName"":""TNT"",""highScore"":45970,""score"":45970},{""gameName"":""TaskSwitch2"",""highScore"":34430,""score"":34430},{""gameName"":""ADP"",""highScore"":38510,""score"":38510}]","UNDEFINED","Intel Iris Pro OpenGL Engine","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSinternal_BL","2020-05-22T16:46:21.000Z","2020-05-22T17:35:44.000Z","","Mac OS X 10_15_4","27","ACE Explorer","1.16.36","Pacific Standard Time","-7","Chrome 81","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":27100,""score"":27100},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""SAATSustained"",""highScore"":55860,""score"":55860},{""gameName"":""SpatialSpanReverse"",""highScore"":7100,""score"":7100},{""gameName"":""SpatialCueing"",""highScore"":79740,""score"":79740},{""gameName"":""ADP"",""highScore"":27330,""score"":27330},{""gameName"":""ColorPicking"",""highScore"":15600,""score"":15600},{""gameName"":""TaskSwitch2"",""highScore"":15160,""score"":15160},{""gameName"":""FlankerArrow"",""highScore"":29360,""score"":29360},{""gameName"":""Stroop"",""highScore"":34140,""score"":34140},{""gameName"":""SAAT"",""highScore"":141280,""score"":141280},{""gameName"":""Filter"",""highScore"":6400,""score"":6400},{""gameName"":""TNT"",""highScore"":14630,""score"":14630},{""gameName"":""SpatialSpan"",""highScore"":9230,""score"":9230},{""gameName"":""Boxed"",""highScore"":74170,""score"":74170}]","UNDEFINED","Intel(R) Iris(TM) Plus Graphics 655","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSinternal_CLG","2020-05-21T19:07:11.000Z","2020-05-22T03:23:43.000Z","","Mac OS X 10_14_6","33","ACE Explorer","1.16.36","Pacific Standard Time","-7","Chrome 81","Desktop","1","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":26060,""score"":26060},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""SAATSustained"",""highScore"":58810,""score"":58810},{""gameName"":""SpatialSpanReverse"",""highScore"":5680,""score"":5680},{""gameName"":""Boxed"",""highScore"":121150,""score"":121150},{""gameName"":""SpatialSpan"",""highScore"":5680,""score"":5680},{""gameName"":""ColorPicking"",""highScore"":28510,""score"":28510},{""gameName"":""FlankerArrow"",""highScore"":23230,""score"":23230},{""gameName"":""ADP"",""highScore"":46380,""score"":46380},{""gameName"":""SAAT"",""highScore"":257620,""score"":257620},{""gameName"":""SpatialCueing"",""highScore"":73600,""score"":73600},{""gameName"":""Stroop"",""highScore"":47240,""score"":47240},{""gameName"":""TaskSwitch2"",""highScore"":42290,""score"":42290},{""gameName"":""TNT"",""highScore"":50500,""score"":50500},{""gameName"":""Filter"",""highScore"":16300,""score"":16300}]","UNDEFINED","Intel(R) Iris(TM) Graphics 6100","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","0"
"NSinternal_KB","2020-05-25T07:30:11.000Z","2020-05-27T04:01:03.000Z","","Mac OS X 10_14_6","21","ACE Explorer","1.16.36","GMT","-10","Chrome 83","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":810,""score"":810},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""Stroop"",""highScore"":19260,""score"":19260},{""gameName"":""FlankerArrow"",""highScore"":1750,""score"":1750},{""gameName"":""Boxed"",""highScore"":29950,""score"":29950},{""gameName"":""SAAT"",""highScore"":-6780,""score"":-6780},{""gameName"":""ADP"",""highScore"":1650,""score"":1650},{""gameName"":""ColorPicking"",""highScore"":-800,""score"":-800},{""gameName"":""SAATSustained"",""highScore"":-16280,""score"":-16280},{""gameName"":""SpatialSpan"",""highScore"":0,""score"":0},{""gameName"":""SpatialCueing"",""highScore"":-210,""score"":-210},{""gameName"":""SpatialSpanReverse"",""highScore"":0,""score"":0},{""gameName"":""TaskSwitch2"",""highScore"":2000,""score"":2000},{""gameName"":""Filter"",""highScore"":-2460,""score"":-2460},{""gameName"":""TNT"",""highScore"":3870,""score"":3870}]","UNDEFINED","Intel(R) Iris(TM) Graphics 6100","LEFT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSinternal_MA","2020-05-22T19:17:38.000Z","2020-05-22T21:18:41.000Z","","Mac OS X 10_13_6","23","ACE Explorer","1.16.36","Pacific Standard Time","-7","Chrome 81","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":30730,""score"":30730},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""Stroop"",""highScore"":41090,""score"":41090},{""gameName"":""FlankerArrow"",""highScore"":65170,""score"":65170},{""gameName"":""Boxed"",""highScore"":74180,""score"":74180},{""gameName"":""TaskSwitch2"",""highScore"":38290,""score"":38290},{""gameName"":""SpatialSpan"",""highScore"":7100,""score"":7100},{""gameName"":""SpatialSpanReverse"",""highScore"":3550,""score"":3550},{""gameName"":""Filter"",""highScore"":52430,""score"":52430},{""gameName"":""TNT"",""highScore"":20880,""score"":20880},{""gameName"":""SpatialCueing"",""highScore"":81860,""score"":81860},{""gameName"":""SAAT"",""highScore"":344650,""score"":344650},{""gameName"":""SAATSustained"",""highScore"":78960,""score"":78960},{""gameName"":""ColorPicking"",""highScore"":48040,""score"":48040},{""gameName"":""ADP"",""highScore"":61600,""score"":61600}]","UNDEFINED","Intel(R) HD Graphics 6000","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSInternal_RAS","2020-05-20T10:51:01.000Z","2020-05-20T11:58:50.000Z","","Windows 10","41","ACE Explorer","1.16.35","Central European Standard Time","2","Chrome 81","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":11380,""score"":11380},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""ADP"",""highScore"":25640,""score"":25640},{""gameName"":""Stroop"",""highScore"":48810,""score"":48810},{""gameName"":""SpatialCueing"",""highScore"":82020,""score"":82020},{""gameName"":""SAAT"",""highScore"":353490,""score"":353490},{""gameName"":""SAATSustained"",""highScore"":88050,""score"":88050},{""gameName"":""FlankerArrow"",""highScore"":17510,""score"":17510},{""gameName"":""SpatialSpanReverse"",""highScore"":10650,""score"":10650},{""gameName"":""TNT"",""highScore"":21660,""score"":21660},{""gameName"":""TaskSwitch2"",""highScore"":42400,""score"":42400},{""gameName"":""ColorPicking"",""highScore"":48000,""score"":48000},{""gameName"":""SpatialSpan"",""highScore"":9940,""score"":9940},{""gameName"":""Boxed"",""highScore"":102490,""score"":102490},{""gameName"":""Filter"",""highScore"":38260,""score"":38260}]","UNDEFINED","ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0)","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSinternal_RC","2020-05-22T16:03:04.000Z","2020-05-22T16:57:26.000Z","","Windows 10","31","ACE Explorer","1.16.36","Pacific Standard Time","-7","Firefox 76","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":29950,""score"":29950},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""SAATSustained"",""highScore"":80920,""score"":80920},{""gameName"":""SpatialSpanReverse"",""highScore"":5680,""score"":5680},{""gameName"":""Boxed"",""highScore"":24810,""score"":24810},{""gameName"":""SpatialSpan"",""highScore"":5680,""score"":5680},{""gameName"":""ColorPicking"",""highScore"":49440,""score"":49440},{""gameName"":""SpatialCueing"",""highScore"":58160,""score"":58160},{""gameName"":""Stroop"",""highScore"":24900,""score"":24900},{""gameName"":""SAAT"",""highScore"":194730,""score"":194730},{""gameName"":""Filter"",""highScore"":17000,""score"":17000},{""gameName"":""TNT"",""highScore"":23390,""score"":23390},{""gameName"":""TaskSwitch2"",""highScore"":65720,""score"":65720},{""gameName"":""ADP"",""highScore"":38840,""score"":38840},{""gameName"":""FlankerArrow"",""highScore"":35080,""score"":35080}]","UNDEFINED","ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0)","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSinternal_SO","2020-05-22T18:29:36.000Z","2020-05-22T19:23:36.000Z","","Mac OS X 10_15_4","23","ACE Explorer","1.16.36","Pacific Standard Time","-7","Chrome 81","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":30380,""score"":30380},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""SpatialCueing"",""highScore"":73140,""score"":73140},{""gameName"":""Stroop"",""highScore"":40930,""score"":40930},{""gameName"":""ADP"",""highScore"":48180,""score"":48180},{""gameName"":""FlankerArrow"",""highScore"":29520,""score"":29520},{""gameName"":""SAATSustained"",""highScore"":89490,""score"":89490},{""gameName"":""ColorPicking"",""highScore"":38400,""score"":38400},{""gameName"":""TaskSwitch2"",""highScore"":31950,""score"":31950},{""gameName"":""TNT"",""highScore"":29110,""score"":29110},{""gameName"":""SpatialSpan"",""highScore"":7810,""score"":7810},{""gameName"":""Filter"",""highScore"":27970,""score"":27970},{""gameName"":""Boxed"",""highScore"":60000,""score"":60000},{""gameName"":""SpatialSpanReverse"",""highScore"":7810,""score"":7810},{""gameName"":""SAAT"",""highScore"":154930,""score"":154930}]","UNDEFINED","Intel(R) Iris(TM) Plus Graphics 655","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
"NSinternal_SS","2020-05-19T23:04:44.000Z","2020-05-20T01:22:03.000Z","","Mac OS X 10_15_4","29","ACE Explorer","1.16.35","Pacific Standard Time","-7","Chrome 81","Desktop","2","[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Boxed"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Stroop"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ColorPicking"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""Filter"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""ADP"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAATSustained"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TaskSwitch2"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":11840,""score"":11840},{""gameName"":""WTNumber"",""highScore"":9940,""score"":9940},{""gameName"":""Stroop"",""highScore"":35390,""score"":35390},{""gameName"":""FlankerArrow"",""highScore"":29780,""score"":29780},{""gameName"":""ADP"",""highScore"":41790,""score"":41790},{""gameName"":""SAAT"",""highScore"":144670,""score"":144670},{""gameName"":""Filter"",""highScore"":53240,""score"":53240},{""gameName"":""TNT"",""highScore"":24890,""score"":24890},{""gameName"":""ColorPicking"",""highScore"":18780,""score"":18780},{""gameName"":""SAATSustained"",""highScore"":30310,""score"":30310},{""gameName"":""SpatialCueing"",""highScore"":60000,""score"":60000},{""gameName"":""SpatialSpanReverse"",""highScore"":7100,""score"":7100},{""gameName"":""TaskSwitch2"",""highScore"":30960,""score"":30960},{""gameName"":""Boxed"",""highScore"":92680,""score"":92680},{""gameName"":""SpatialSpan"",""highScore"":9940,""score"":9940}]","UNDEFINED","NVIDIA GeForce GT 750M OpenGL Engine","RIGHT","English","Unknown","1","0","WebGLPlayer","None","256","1"
