Participant ID,Created At,Updated At,, O S Version,Age,App Id,Build,Client Time Zone,Client Time Zone Offset,Device Model,Device Type,Games Map Dialog Stage,Games Play Count,Games Scores,Gender,Graphics Device Name,Handedness,I18n,Install Mode,Processor Count,Processor Frequency,Runtime Platform,Section,System Memory Size,Times Finished Game
Ucsfww0003,2019-09-11T21:10:03.000Z,2019-09-12T16:50:56.000Z,,iOS 12.4.1,6,ACE Explorer,1.11.23,PST,-7,"iPad4,7",Handheld,1,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialSpan"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":18660,""score"":18660},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SpatialCueing"",""highScore"":21230,""score"":21230},{""gameName"":""FlankerArrow"",""highScore"":-130,""score"":-130},{""gameName"":""SpatialSpanReverse"",""highScore"":1000,""score"":1000}]",MALE,Apple A7 GPU,LEFT,English,Store,2,0,IPhonePlayer,None,970,0
Ucsfww0004,2019-09-11T21:12:29.000Z,2019-09-11T21:12:29.000Z,,iOS 12.4.1,-1,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,0,,,,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,0
Ucsfww0005,2019-09-11T21:13:45.000Z,2019-09-12T16:55:13.000Z,,iOS 12.4.1,6,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,1,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":35500,""score"":35500},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""FlankerArrow"",""highScore"":260,""score"":260},{""gameName"":""TNT"",""highScore"":151600,""score"":151600},{""gameName"":""SpatialSpan"",""highScore"":2000,""score"":2000},{""gameName"":""SpatialSpanReverse"",""highScore"":1000,""score"":1000},{""gameName"":""SAAT"",""highScore"":24770,""score"":24770}]",MALE,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,0
Ucsfww0006,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,,iOS 12.4.1,-1,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,0,,,,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,0
Ucsfww0007,2019-09-11T21:16:42.000Z,2019-09-12T16:57:00.000Z,,iOS 12.4.1,6,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,1,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialCueing"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":45760,""score"":45760},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""FlankerArrow"",""highScore"":-890,""score"":-890},{""gameName"":""TNT"",""highScore"":115690,""score"":115690},{""gameName"":""SpatialSpan"",""highScore"":2000,""score"":2000},{""gameName"":""SpatialSpanReverse"",""highScore"":0,""score"":0}]",FEMALE,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,0
Ucsfww0008,2019-09-11T21:15:18.000Z,2019-09-12T16:53:53.000Z,,iOS 12.4.1,6,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":48800,""score"":48800},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""FlankerArrow"",""highScore"":5150,""score"":5150},{""gameName"":""TNT"",""highScore"":163470,""score"":163470},{""gameName"":""SpatialSpan"",""highScore"":0,""score"":0},{""gameName"":""SpatialSpanReverse"",""highScore"":0,""score"":0},{""gameName"":""SAAT"",""highScore"":14460,""score"":14460},{""gameName"":""SpatialCueing"",""highScore"":34170,""score"":34170}]",FEMALE,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,1
Ucsfww0011,2019-09-11T21:17:36.000Z,2019-09-12T16:58:10.000Z,,iOS 12.4.1,6,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":2},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":2},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":41920,""score"":41920},{""gameName"":""SpatialCueing"",""highScore"":64010,""score"":64010},{""gameName"":""SpatialSpan"",""highScore"":3000,""score"":3000},{""gameName"":""SAAT"",""highScore"":10860,""score"":10860},{""gameName"":""FlankerArrow"",""highScore"":1160,""score"":1160},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""SpatialSpanReverse"",""highScore"":1000,""score"":1000},{""gameName"":""TNT"",""highScore"":186350,""score"":186350}]",FEMALE,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,1
Ucsfww0014,2019-09-11T21:08:51.000Z,2019-09-12T16:52:43.000Z,,iOS 12.4.1,6,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,1,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialCueing"",""lastPlaySession"":-1,""playCount"":0},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":44690,""score"":44690},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""FlankerArrow"",""highScore"":37450,""score"":37450},{""gameName"":""TNT"",""highScore"":74230,""score"":74230},{""gameName"":""SpatialSpan"",""highScore"":0,""score"":0},{""gameName"":""SpatialSpanReverse"",""highScore"":1000,""score"":1000}]",MALE,Apple A7 GPU,LEFT,English,Store,2,0,IPhonePlayer,None,972,0
Ucsfww0016,2019-09-11T20:46:05.000Z,2019-09-11T20:46:05.000Z,,iOS 12.4.1,-1,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,0,,,,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,0
Ucsfww0018,2019-09-11T21:11:17.000Z,2019-09-12T16:54:32.000Z,,iOS 12.4.1,6,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":25020,""score"":25020},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""FlankerArrow"",""highScore"":8430,""score"":8430},{""gameName"":""TNT"",""highScore"":158520,""score"":158520},{""gameName"":""SpatialSpan"",""highScore"":1000,""score"":1000},{""gameName"":""SpatialSpanReverse"",""highScore"":0,""score"":0},{""gameName"":""SAAT"",""highScore"":12260,""score"":12260},{""gameName"":""SpatialCueing"",""highScore"":53370,""score"":53370}]",MALE,Apple A7 GPU,LEFT,English,Store,2,0,IPhonePlayer,None,972,1
Ucsfww0027,2019-09-11T22:15:47.000Z,2019-09-12T18:20:37.000Z,,iOS 12.4.1,7,ACE Explorer,1.11.23,PST,-7,"iPad4,4",Handheld,2,"[{""gameName"":""BRT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""TNT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpan"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""FlankerArrow"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""WTNumber"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SAAT"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialCueing"",""lastPlaySession"":0,""playCount"":1},{""gameName"":""SpatialSpanReverse"",""lastPlaySession"":0,""playCount"":1}]","[{""gameName"":""BRT"",""highScore"":39490,""score"":39490},{""gameName"":""WTNumber"",""highScore"":3500,""score"":3500},{""gameName"":""FlankerArrow"",""highScore"":15740,""score"":15740},{""gameName"":""SpatialCueing"",""highScore"":81820,""score"":81820},{""gameName"":""SAAT"",""highScore"":17520,""score"":17520},{""gameName"":""TNT"",""highScore"":96450,""score"":96450},{""gameName"":""SpatialSpan"",""highScore"":1000,""score"":1000},{""gameName"":""SpatialSpanReverse"",""highScore"":0,""score"":0}]",MALE,Apple A7 GPU,RIGHT,English,Store,2,0,IPhonePlayer,None,972,2
