Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Displayed Cue,First Button,Flanking Cue,Late Response,Response Time,Response Window,Second Button,Trial Type
ucsfww0003,2019-09-12T16:40:04.126Z,2019-09-12T16:40:04.126Z,,default,0,59.5520744,19.15713,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,A,YES,A,0,2250,5000,NO,CONGRUENT
ucsfww0003,2019-09-12T16:40:04.126Z,2019-09-12T16:40:04.126Z,,default,1,59.5520744,19.15713,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,A,NO,B,1,0,5000,NO,INCONGRUENT
ucsfww0003,2019-09-12T16:41:25.165Z,2019-09-12T16:41:25.165Z,,default,0,59.49283,18.6422653,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,A,NO,A,0,634,5000,YES,CONGRUENT
ucsfww0003,2019-09-12T16:41:25.165Z,2019-09-12T16:41:25.165Z,,default,1,59.49283,18.6422653,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,A,NO,B,0,3568,5000,YES,INCONGRUENT
ucsfww0003,2019-09-12T16:41:25.165Z,2019-09-12T16:41:25.165Z,,default,2,59.49283,18.6422653,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,B,NO,B,0,2034,5000,YES,CONGRUENT
ucsfww0003,2019-09-12T16:41:25.165Z,2019-09-12T16:41:25.165Z,,default,3,59.49283,18.6422653,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,A,NO,B,0,2500,5000,YES,INCONGRUENT
ucsfww0003,2019-09-12T16:41:25.165Z,2019-09-12T16:41:25.165Z,,default,4,59.49283,18.6422653,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,B,NO,A,0,2368,5000,YES,INCONGRUENT
ucsfww0003,2019-09-12T16:41:25.165Z,2019-09-12T16:41:25.165Z,,default,5,59.49283,18.6422653,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,A,YES,A,0,1851,5000,NO,CONGRUENT
ucsfww0003,2019-09-12T16:41:55.436Z,2019-09-12T16:41:55.436Z,,default,0,59.4473152,20.8012257,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,A,YES,A,0,1117,5000,NO,CONGRUENT
ucsfww0003,2019-09-12T16:41:55.436Z,2019-09-12T16:41:55.436Z,,default,1,59.4473152,20.8012257,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,A,NO,B,0,984,5000,YES,INCONGRUENT
ucsfww0003,2019-09-12T16:41:55.436Z,2019-09-12T16:41:55.436Z,,default,2,59.4473152,20.8012257,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,B,NO,B,0,1201,5000,YES,CONGRUENT
ucsfww0003,2019-09-12T16:41:55.436Z,2019-09-12T16:41:55.436Z,,default,3,59.4473152,20.8012257,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,A,NO,B,0,2268,5000,YES,INCONGRUENT
ucsfww0003,2019-09-12T16:41:55.436Z,2019-09-12T16:41:55.436Z,,default,4,59.4473152,20.8012257,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,B,NO,A,0,900,5000,YES,INCONGRUENT
ucsfww0003,2019-09-12T16:41:55.436Z,2019-09-12T16:41:55.436Z,,default,5,59.4473152,20.8012257,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,A,YES,A,0,1068,5000,NO,CONGRUENT
