Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Displayed Cue,First Button,Flanking Cue,Late Response,Response Time,Response Window,Second Button,Trial Type
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,0,118.051308,76.93366,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,A,YES,A,0,616,850,NO,CONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,1,118.0561,77.04437,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,B,NO,B,0,449,840,YES,CONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,2,118.032867,76.88949,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,B,NO,B,0,433,820,YES,CONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,3,118.036934,76.78684,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,B,NO,A,0,567,850,YES,INCONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,4,118.053795,77.00407,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,A,YES,A,0,434,790,NO,CONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,5,118.061172,76.89599,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,B,NO,A,0,600,840,YES,INCONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,6,118.075066,76.79488,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,B,NO,B,0,384,750,YES,CONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,7,118.064461,76.75458,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,A,YES,B,0,566,820,NO,INCONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,8,118.06131,76.87904,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,A,NO,B,0,434,790,YES,INCONGRUENT
nsinternal_ag,2020-05-19T23:32:03.764Z,2020-05-19T23:32:03.764Z,,default,9,118.0674,76.8486938,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,A,YES,B,0,484,830,NO,INCONGRUENT
