Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Button Pressed,Correct Button,Cue Displayed,Late Response,Response Time,Response Window,Stimulus Color,Stimulus Shape,TaskSwitch State
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,0,121.287354,125.450516,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,1,1333,833,Purple,Moon,0
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,1,121.270653,124.673,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,584,873,Orange,Moon,2
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,2,121.2563,124.200027,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,417,833,Orange,Moon,1
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,3,121.251175,123.770821,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,650,823,Purple,Moon,1
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,4,121.241776,123.121223,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,450,863,Purple,Sun,2
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,5,121.217484,122.991531,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,267,843,Purple,Sun,2
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,6,121.177223,122.74369,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,500,803,Orange,Sun,1
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,7,121.153931,122.249733,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,400,813,Purple,Sun,2
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,8,121.149651,122.24398,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,450,773,Purple,Moon,2
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,9,121.147057,122.736534,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Purple Moon,0,Shape,0,700,773,Purple,Sun,1
nsinternal_ag,2020-05-19T23:41:49.393Z,2020-05-19T23:41:49.393Z,,default,10,121.163757,122.718719,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,450,813,Purple,Moon,1
