,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Response Time,Inter Time Interval,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Late Response,Time Sent Utc,Detail,Finger Used
0,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,417,466,1100,0,120.366066,41.2362366,LEFT,1,1,2024-03-06T18:39:23.7250000Z,N/A,N/A
1,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,457,300,800,1,120.043129,40.1924133,LEFT,1,0,2024-03-06T18:39:23.7250000Z,N/A,N/A
2,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,447,350,1000,2,121.421242,56.2336426,LEFT,1,0,2024-03-06T18:39:23.7250000Z,N/A,N/A
3,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,427,267,900,3,121.926353,61.2892723,LEFT,1,0,2024-03-06T18:39:23.7250000Z,N/A,N/A
4,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,397,200,1200,4,121.785187,40.167263,LEFT,1,0,2024-03-06T18:39:23.7250000Z,N/A,N/A
5,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,357,100,1200,5,117.995514,56.4931259,LEFT,0,0,2024-03-06T18:39:23.7250000Z,N/A,N/A
6,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,307,283,1000,6,122.946281,49.7409935,LEFT,1,0,2024-03-06T18:39:23.7250000Z,N/A,N/A
7,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,247,267,900,7,117.61512,76.83353,LEFT,1,1,2024-03-06T18:39:23.7250000Z,N/A,N/A
8,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,287,267,800,8,121.015373,45.87249,LEFT,1,0,2024-03-06T18:39:23.7250000Z,N/A,N/A
9,2024-03-06T18:39:23.7250000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,277,317,1100,9,122.294556,58.11068,LEFT,1,1,2024-03-06T18:39:23.7250000Z,N/A,N/A
