,participantID,SessionID,age,handedness,build,languageI18n,clientTimeZone,deviceModel,deviceType,osVersion,fpsMean,fpsVariance,screenHeight,screenWidth,deviceDPI,graphicsDeviceName,processorCount,processorFrequency,runtimePlatform,systemMemorySize,moduleName,moduleStartDateTime,moduleEndDateTime,moduleDataSentTime,moduleFinishStatus,timesFinishedModule,fingerReported,sessionStage,trialNumber,trialStartDateTime,trialCondition,cueDisplayed,stimulusDisplayed,probeDisplayed,stimulusProbeDelay,interTrialInterval,responseWindow,maxResponseTime,responseWindowStartDateTime,responseDateTime,responseTime,correctAnswer,participantAnswer,feedbackResult,wasResponseRecorded,wasAnswerCorrect,wasResponseOnTime,trialResultType,interTrialResponseDateTime,interTrialResponseTime,interTrialTapCount,wasResponseUnallowed
0,aceTest_Trip_08292023,2251f623-178c-4cfe-b919-b285f6324932,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.516106,2.76033068,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:10.3987433Z,2023-08-29T22:12:33.6059410Z,2023-08-29T22:12:33.982172Z,Complete,0,N/A,StartingWindow,0,2023-08-29T22:12:12.101483Z,N/A,N/A,"['FFFFFF', '2A61FF', 'FE9A2D']",right,300000,800,-1,999,2023-08-29T22:12:13.907956Z,2023-08-29T22:12:14.651789Z,743,FE9A2D,FE9A2D,green,True,True,True,valid,0001-01-01T00:00:00.000000Z,0,0,False
1,aceTest_Trip_08292023,2251f623-178c-4cfe-b919-b285f6324932,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.253334,18.3466015,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:10.3987433Z,2023-08-29T22:12:33.6059410Z,2023-08-29T22:12:33.982172Z,Complete,0,N/A,StartingWindow,1,2023-08-29T22:12:16.260235Z,N/A,N/A,"['FE9A2D', 'FC4F7B', 'FFFFFF']",middle,300000,900,-1,999,2023-08-29T22:12:18.063825Z,2023-08-29T22:12:18.707462Z,643,FC4F7B,FC4F7B,green,True,True,True,valid,0001-01-01T00:00:00.000000Z,0,0,False
2,aceTest_Trip_08292023,2251f623-178c-4cfe-b919-b285f6324932,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.318794,6.44130373,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:10.3987433Z,2023-08-29T22:12:33.6059410Z,2023-08-29T22:12:33.982172Z,Complete,0,N/A,StartingWindow,2,2023-08-29T22:12:20.409467Z,N/A,N/A,"['FC4F7B', '2A61FF', '03FFB1']",middle,300000,1100,-1,999,2023-08-29T22:12:22.211647Z,2023-08-29T22:12:22.897753Z,686,2A61FF,2A61FF,green,True,True,True,valid,0001-01-01T00:00:00.000000Z,0,0,False
3,aceTest_Trip_08292023,2251f623-178c-4cfe-b919-b285f6324932,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.268761,17.4513378,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:10.3987433Z,2023-08-29T22:12:33.6059410Z,2023-08-29T22:12:33.982172Z,Complete,0,N/A,StartingWindow,3,2023-08-29T22:12:24.803748Z,N/A,N/A,"['03FFB1', 'FE9A2D', 'FC4F7B']",left,300000,1200,-1,999,2023-08-29T22:12:26.605510Z,2023-08-29T22:12:27.167436Z,561,03FFB1,03FFB1,green,True,True,True,valid,0001-01-01T00:00:00.000000Z,0,0,False
4,aceTest_Trip_08292023,2251f623-178c-4cfe-b919-b285f6324932,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.5325,2.56978321,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:10.3987433Z,2023-08-29T22:12:33.6059410Z,2023-08-29T22:12:33.982172Z,Complete,0,N/A,StartingWindow,4,2023-08-29T22:12:29.170609Z,N/A,N/A,"['FFFFFF', '2A61FF', '03FFB1']",left,300000,1000,-1,999,2023-08-29T22:12:30.971839Z,2023-08-29T22:12:31.800139Z,828,FFFFFF,FFFFFF,green,True,True,True,valid,0001-01-01T00:00:00.000000Z,0,0,False
5,aceTest_Trip_08292023,88ee64b4-36da-45af-ba43-5aa259644776,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.453087,3.5244298,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:52.0071651Z,2023-08-29T22:15:17.6997246Z,2023-08-29T22:15:18.209022Z,Complete,0,N/A,Real,0,2023-08-29T22:12:53.932661Z,N/A,N/A,"['FC4F7B', 'FE9A2D', '03FFB1']",right,260000,1000,5000,6000,2023-08-29T22:12:55.736076Z,2023-08-29T22:12:55.967076Z,231,03FFB1,Unallowed,red,True,False,True,invalid,0001-01-01T00:00:00.000000Z,0,0,True
6,aceTest_Trip_08292023,88ee64b4-36da-45af-ba43-5aa259644776,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.351288,15.6072845,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:52.0071651Z,2023-08-29T22:15:17.6997246Z,2023-08-29T22:15:18.209022Z,Complete,0,N/A,Real,1,2023-08-29T22:12:59.652727Z,N/A,N/A,"['FE9A2D', '2A61FF', 'FC4F7B']",left,180000,1200,5000,6000,2023-08-29T22:13:01.421234Z,2023-08-29T22:13:01.721234Z,303,FE9A2D,Unallowed,red,True,False,True,invalid,0001-01-01T00:00:00.000000Z,0,0,True
7,aceTest_Trip_08292023,88ee64b4-36da-45af-ba43-5aa259644776,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.38839,17.3964043,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:52.0071651Z,2023-08-29T22:15:17.6997246Z,2023-08-29T22:15:18.209022Z,Complete,0,N/A,Real,2,2023-08-29T22:13:05.362517Z,N/A,N/A,"['2A61FF', 'FC4F7B', 'FFFFFF']",right,150000,800,5000,6000,2023-08-29T22:13:07.050615Z,2023-08-29T22:13:07.250615Z,200,FFFFFF,Unallowed,red,True,False,True,invalid,0001-01-01T00:00:00.000000Z,0,0,True
8,aceTest_Trip_08292023,88ee64b4-36da-45af-ba43-5aa259644776,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.373,4.21341753,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:52.0071651Z,2023-08-29T22:15:17.6997246Z,2023-08-29T22:15:18.209022Z,Complete,0,N/A,Real,3,2023-08-29T22:13:10.007864Z,N/A,N/A,"['FC4F7B', 'FFFFFF', 'FE9A2D']",left,150000,1100,5000,6000,2023-08-29T22:13:11.666993Z,2023-08-29T22:13:11.800770Z,133,FC4F7B,FE9A2D,red,True,False,True,invalid,0001-01-01T00:00:00.000000Z,0,0,False
9,aceTest_Trip_08292023,88ee64b4-36da-45af-ba43-5aa259644776,24,right,1.22.28,English,"Hora est. Pac?fico, Sudam?rica",System Product Name (System manufacturer),Desktop,Windows 10  (10.0.0) 64bit,119.467186,2.53133273,1080,1920,96,NVIDIA GeForce RTX 3060 Ti,12,3500,WindowsEditor,32676,COLOR PICKING,2023-08-29T22:12:52.0071651Z,2023-08-29T22:15:17.6997246Z,2023-08-29T22:15:18.209022Z,Complete,0,N/A,Real,4,2023-08-29T22:13:13.711702Z,N/A,N/A,"['FFFFFF', 'FC4F7B', '2A61FF']",right,150000,900,5000,6000,2023-08-29T22:13:15.368665Z,2023-08-29T22:13:15.493905Z,125,2A61FF,FE9A2D,red,True,False,True,invalid,0001-01-01T00:00:00.000000Z,0,0,False
