,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Response Time,Trial Type,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Color Word Shown,Color Ink Shown,Color Pressed,Late Response,Time Sent Utc,Detail,Finger Used
0,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,584,717,Congruent,0,120.095222,47.9602547,CONGRUENT,1,Pink,Pink,Pink,1,2024-03-06T18:46:41.2470000Z,N/A,N/A
1,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,624,617,Congruent,1,120.115807,50.94661,CONGRUENT,1,White,White,White,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
2,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,614,450,Congruent,2,120.380463,51.1785736,CONGRUENT,1,Green,Green,Green,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
3,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,584,466,Incongruent,3,120.061066,79.8849258,INCONGRUENT,1,White,Orange,Orange,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
4,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,594,483,Congruent,4,120.4516,51.43118,CONGRUENT,1,Green,Green,Green,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
5,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,564,467,Congruent,5,121.0288,50.9978065,CONGRUENT,1,White,White,White,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
6,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,524,450,Congruent,6,120.355362,49.0883064,CONGRUENT,1,Orange,Orange,Orange,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
7,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,574,450,Incongruent,7,120.651894,64.81895,INCONGRUENT,1,White,Pink,Pink,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
8,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,554,583,Incongruent,8,119.631508,59.6822166,INCONGRUENT,1,White,Green,Green,1,2024-03-06T18:46:41.2470000Z,N/A,N/A
9,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,474,467,Congruent,9,120.769089,60.4262047,CONGRUENT,1,Orange,Orange,Orange,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
10,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,414,733,Congruent,10,120.713089,63.72268,CONGRUENT,1,Pink,Pink,Pink,1,2024-03-06T18:46:41.2470000Z,N/A,N/A
11,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,594,417,Incongruent,11,120.521637,58.123703,INCONGRUENT,1,Pink,White,White,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
12,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,584,633,Incongruent,12,120.514023,46.9630623,INCONGRUENT,1,Pink,Green,Green,1,2024-03-06T18:46:41.2470000Z,N/A,N/A
13,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,454,467,Congruent,13,120.148178,50.924305,CONGRUENT,1,White,White,White,1,2024-03-06T18:46:41.2470000Z,N/A,N/A
14,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,534,467,Congruent,14,119.107048,28.32702,CONGRUENT,1,Orange,Orange,Orange,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
15,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,524,417,Congruent,15,120.778244,43.4048233,CONGRUENT,1,Pink,Pink,Pink,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
16,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,624,417,Incongruent,16,118.820358,46.9213333,INCONGRUENT,0,Orange,Green,Pink,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
17,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,704,433,Incongruent,17,120.382828,75.3805542,INCONGRUENT,1,Green,White,White,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
18,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,694,450,Incongruent,18,119.885208,54.22252,INCONGRUENT,1,Green,Pink,Pink,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
19,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,504,450,Congruent,19,120.386223,55.5587234,CONGRUENT,1,Orange,Orange,Orange,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
20,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,474,417,Congruent,20,120.60112,38.8184853,CONGRUENT,1,Green,Green,Green,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
21,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,674,434,Incongruent,21,120.010818,36.15767,INCONGRUENT,1,Pink,White,White,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
22,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,434,483,Congruent,22,120.670837,72.40342,CONGRUENT,1,Orange,Orange,Orange,1,2024-03-06T18:46:41.2470000Z,N/A,N/A
23,2024-03-06T18:46:41.2470000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_27,Successful,1,Real,Windows 10,909,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 122,3,644,467,Incongruent,23,119.843834,66.8603439,INCONGRUENT,1,Green,Pink,Pink,0,2024-03-06T18:46:41.2470000Z,N/A,N/A
