,Age,I18n,App Id,Build,Gender,Section,OS Version,Device Type,Handedness,Device Model,Games Scores,Install Mode,Participant ID,Client Time Zone,Games Play Count,Processor Count,Runtime Platform,System Memory Size,Times Finished Game,Graphics Device Name,Processor Frequency,Games Map Dialog Stage,Client Time Zone Offset,PID,Created At,Updated At
0,40,10,ACE Explorer Nexus,1.22.31,UNDEFINED,None,iPadOS 15.6,1,LEFT,"iPad8,6","[{'score': 32020.0, 'gameName': 'BRT', 'highScore': 32020.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 4970.0, 'gameName': 'SpatialSpan', 'highScore': 4970.0}, {'score': 14390.0, 'gameName': 'Stroop', 'highScore': 14390.0}]",1,WPI1_1,EST,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 0, 'lastPlaySession': -1}]",8,8,16384,0,Apple M1,0,1,-5,WPI1_1,2023-11-28T18:59:56.000000Z,2023-11-28T20:19:35.000000Z
1,9,10,ACE Explorer Nexus,1.22.31,UNDEFINED,None,iOS 16.1.2,1,LEFT,"iPhone11,8","[{'score': 32960.0, 'gameName': 'BRT', 'highScore': 32960.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 4970.0, 'gameName': 'SpatialSpan', 'highScore': 4970.0}, {'score': 17180.0, 'gameName': 'Stroop', 'highScore': 17180.0}, {'score': 2840.0, 'gameName': 'SpatialSpanReverse', 'highScore': 2840.0}]",1,WPI1_3,EST,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",6,8,2838,1,Apple A12 GPU,0,2,-5,WPI1_3,2023-11-28T22:46:27.000000Z,2023-11-28T22:59:46.000000Z
2,10,10,ACE Explorer Nexus,1.22.31,UNDEFINED,None,iOS 16.1.2,1,RIGHT,"iPhone11,8","[{'score': 27040.0, 'gameName': 'BRT', 'highScore': 27040.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 8520.0, 'gameName': 'SpatialSpan', 'highScore': 8520.0}, {'score': 27240.0, 'gameName': 'Stroop', 'highScore': 27240.0}, {'score': 4260.0, 'gameName': 'SpatialSpanReverse', 'highScore': 4260.0}]",1,WPI1_2,EST,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",6,8,2838,1,Apple A12 GPU,0,2,-5,WPI1_2,2023-11-28T21:47:25.000000Z,2023-11-28T22:16:50.000000Z
3,35,10,ACE Explorer,1.22.27,UNDEFINED,None,Mac OS X 10_15_7,3,RIGHT,Chrome 119,"[{'score': 34280.0, 'gameName': 'BRT', 'highScore': 34280.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 10650.0, 'gameName': 'SpatialSpan', 'highScore': 10650.0}, {'score': 43500.0, 'gameName': 'Stroop', 'highScore': 43500.0}, {'score': 9230.0, 'gameName': 'SpatialSpanReverse', 'highScore': 9230.0}]",0,WPI1_4,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (ATI Technologies Inc., AMD Radeon Pro 5300M OpenGL Engine, OpenGL 4.1)",0,2,-5,WPI1_4,2023-11-29T14:40:58.000000Z,2023-11-29T15:00:12.000000Z
4,35,10,ACE Explorer,1.22.27,UNDEFINED,None,Mac OS X 10_15_7,3,RIGHT,Chrome 119,"[{'score': 39630.0, 'gameName': 'BRT', 'highScore': 39630.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 8520.0, 'gameName': 'SpatialSpan', 'highScore': 8520.0}, {'score': 51030.0, 'gameName': 'Stroop', 'highScore': 51030.0}, {'score': 9940.0, 'gameName': 'SpatialSpanReverse', 'highScore': 9940.0}, {'score': 24410.0, 'gameName': 'FlankerArrow', 'highScore': 24410.0}]",0,WPI1_9,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'FlankerArrow', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel Inc., Intel Iris OpenGL Engine, OpenGL 4.1)",0,0,-5,WPI1_9,2023-11-29T22:42:16.000000Z,2023-11-29T23:16:30.000000Z
5,25,10,ACE Explorer,1.22.27,UNDEFINED,None,Windows 10,3,RIGHT,Chrome 118,"[{'score': 23540.0, 'gameName': 'BRT', 'highScore': 23540.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 7810.0, 'gameName': 'SpatialSpan', 'highScore': 7810.0}, {'score': 18130.0, 'gameName': 'Stroop', 'highScore': 18130.0}, {'score': 4260.0, 'gameName': 'SpatialSpanReverse', 'highScore': 4260.0}, {'score': 30360.0, 'gameName': 'FlankerArrow', 'highScore': 30360.0}]",0,WPI1_11,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'FlankerArrow', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-5,WPI1_11,2023-11-29T22:47:07.000000Z,2023-11-29T23:06:14.000000Z
6,19,10,ACE Explorer,1.22.27,UNDEFINED,None,Windows 10,3,LEFT,Chrome 119,"[{'score': 29020.0, 'gameName': 'BRT', 'highScore': 29020.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 7100.0, 'gameName': 'SpatialSpan', 'highScore': 7100.0}, {'score': 20650.0, 'gameName': 'Stroop', 'highScore': 20650.0}, {'score': 5680.0, 'gameName': 'SpatialSpanReverse', 'highScore': 5680.0}, {'score': 22660.0, 'gameName': 'FlankerArrow', 'highScore': 22660.0}]",0,WPI1_10,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'FlankerArrow', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-5,WPI1_10,2023-11-29T22:37:54.000000Z,2023-11-29T22:56:37.000000Z
7,24,10,ACE Explorer,1.22.27,UNDEFINED,None,Mac OS X 10_15_7,3,RIGHT,Safari 16.5,"[{'score': 24030.0, 'gameName': 'BRT', 'highScore': 24030.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 8520.0, 'gameName': 'SpatialSpan', 'highScore': 8520.0}, {'score': 21410.0, 'gameName': 'Stroop', 'highScore': 21410.0}, {'score': 6390.0, 'gameName': 'SpatialSpanReverse', 'highScore': 6390.0}, {'score': 24710.0, 'gameName': 'FlankerArrow', 'highScore': 24710.0}]",0,WPI1_8,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'FlankerArrow', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,Apple GPU,0,2,-5,WPI1_8,2023-11-29T22:41:53.000000Z,2023-11-29T23:03:53.000000Z
8,21,10,ACE Explorer,1.22.27,UNDEFINED,None,Windows 10,3,RIGHT,Chrome 119,"[{'score': 43480.0, 'gameName': 'BRT', 'highScore': 43480.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 4970.0, 'gameName': 'SpatialSpan', 'highScore': 4970.0}, {'score': 25680.0, 'gameName': 'Stroop', 'highScore': 25680.0}, {'score': 4970.0, 'gameName': 'SpatialSpanReverse', 'highScore': 4970.0}, {'score': 45570.0, 'gameName': 'FlankerArrow', 'highScore': 45570.0}]",0,WPI1_12,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'FlankerArrow', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel, Intel(R) Iris(R) Plus Graphics (0x00008A52) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-5,WPI1_12,2023-11-29T22:37:09.000000Z,2023-11-29T22:58:11.000000Z
9,49,10,ACE Explorer Nexus,1.22.31,UNDEFINED,None,iPadOS 17.1.1,1,RIGHT,"iPad13,1","[{'score': 64820.0, 'gameName': 'BRT', 'highScore': 64820.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 8520.0, 'gameName': 'SpatialSpan', 'highScore': 8520.0}, {'score': 36750.0, 'gameName': 'Stroop', 'highScore': 36750.0}, {'score': 7100.0, 'gameName': 'SpatialSpanReverse', 'highScore': 7100.0}, {'score': 32020.0, 'gameName': 'FlankerArrow', 'highScore': 32020.0}]",1,WPI1_7,EST,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpan', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'FlankerArrow', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}]",6,8,3873,1,Apple A14 GPU,0,2,-5,WPI1_7,2023-11-29T22:37:44.000000Z,2023-11-29T22:57:23.000000Z
