Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Left,0,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,1367,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Left,1,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,1334,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Left,2,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,1101,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Left,3,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,767,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Left,4,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,3201,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Right,0,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,1301,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Right,1,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,3217,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Right,2,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,584,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Right,3,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,1000,0,17,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,Right,4,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,1334,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,RightThumb,0,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,4918,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,RightThumb,1,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,901,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,RightThumb,2,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,867,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,RightThumb,3,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,1667,5000
ucsfww0003,2019-09-12T16:23:17.799Z,2019-09-12T16:23:17.799Z,,RightThumb,4,56.32839,97.0148544,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,900,0,0,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Left,0,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,884,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Left,1,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,217,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Left,2,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,584,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Left,3,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,351,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Left,4,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,800,0,16,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,LeftThumb,0,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,900,0,117,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,LeftThumb,1,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,584,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,LeftThumb,2,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,617,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,LeftThumb,3,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,668,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,LeftThumb,4,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,1100,0,0,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Right,0,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,784,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Right,1,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,867,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Right,2,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,567,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Right,3,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,550,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,Right,4,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,718,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,RightThumb,0,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,800,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,RightThumb,1,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,734,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,RightThumb,2,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,468,5000
