Participant Id,Time Gameplayed Utc,Time Sent Utc,Condition,Trial Number,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Left,0,1,800,0,1067,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Left,1,1,1100,0,1100,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Left,2,1,1000,0,750,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Left,3,1,1200,0,833,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Left,4,1,900,0,500,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,LeftThumb,0,1,800,0,733,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,LeftThumb,1,1,1000,0,350,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,LeftThumb,2,1,1100,0,917,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,LeftThumb,3,1,1200,0,433,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,LeftThumb,4,1,900,0,584,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Right,0,1,900,0,1217,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Right,1,1,1100,0,450,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Right,2,1,1000,0,533,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Right,3,1,800,0,483,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,Right,4,1,1200,0,400,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,RightThumb,0,1,1000,0,450,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,RightThumb,1,1,900,0,433,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,RightThumb,2,1,800,0,233,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,RightThumb,3,1,1100,0,500,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:03.127Z,2019-04-25T20:40:03.127Z,RightThumb,4,1,1200,0,350,5000
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Left,0,1,1200,0,400,600
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Left,1,1,1100,0,300,590
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Left,2,1,900,0,300,570
ms_bbt_chuv_001jp,2019-04-25T20:40:58.894Z,2019-04-25T20:40:58.894Z,Left,3,1,800,0,367,540
