Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,Correct Button,Displayed Cue,First Button,Flanking Cue,Late Response,Response Time,Response Window,Second Button,Trial Type
adminucsfjy0523,2019-05-24T00:20:48.689Z,2019-05-24T00:20:48.689Z,,default,0,1,A,YES,A,0,1200,5000,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:20:48.689Z,2019-05-24T00:20:48.689Z,,default,1,1,A,YES,B,0,833,5000,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:20:48.689Z,2019-05-24T00:20:48.689Z,,default,2,1,B,NO,A,0,600,5000,YES,INCONGRUENT
adminucsfjy0523,2019-05-24T00:20:48.689Z,2019-05-24T00:20:48.689Z,,default,3,1,A,YES,B,0,550,5000,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:20:48.689Z,2019-05-24T00:20:48.689Z,,default,4,1,B,NO,B,0,484,5000,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:20:48.689Z,2019-05-24T00:20:48.689Z,,default,5,1,B,NO,B,0,533,5000,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,0,1,A,YES,A,0,433,675,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,1,1,A,YES,A,0,434,665,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,2,0,A,NO,B,0,433,675,YES,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,3,0,B,NO,A,1,1083,715,YES,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,4,1,A,YES,A,0,483,645,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,5,0,B,YES,A,0,584,795,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,6,1,A,YES,B,0,467,915,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,7,0,A,YES,B,1,1250,905,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,8,0,B,NO,B,1,1200,615,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,9,1,B,NO,A,0,533,945,YES,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,10,1,B,NO,A,0,533,935,YES,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,11,1,A,YES,A,0,466,655,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,12,1,A,YES,B,0,567,915,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,13,1,B,NO,B,0,517,645,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,14,0,B,NO,B,1,650,625,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,15,1,B,NO,B,0,500,665,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,16,1,A,YES,B,0,583,885,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,17,1,A,YES,B,0,517,845,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,18,1,A,YES,A,0,367,655,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,19,1,B,NO,A,0,483,795,YES,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,20,0,A,YES,A,1,716,635,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,21,1,B,NO,B,0,467,675,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,22,0,B,NO,B,1,667,665,YES,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,23,1,A,YES,B,0,667,735,NO,INCONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,24,0,B,YES,B,0,667,705,NO,CONGRUENT
adminucsfjy0523,2019-05-24T00:21:02.400Z,2019-05-24T00:21:02.400Z,,default,25,1,B,NO,A,0,533,665,YES,INCONGRUENT
adminucsftestbl,2019-05-20T22:21:26.119Z,2019-05-20T22:21:26.119Z,,default,0,1,A,YES,A,0,534,5000,NO,CONGRUENT
adminucsftestbl,2019-05-20T22:21:26.119Z,2019-05-20T22:21:26.119Z,,default,1,1,A,YES,B,0,533,5000,NO,INCONGRUENT
adminucsftestbl,2019-05-20T22:21:26.119Z,2019-05-20T22:21:26.119Z,,default,2,1,A,YES,B,0,517,5000,NO,INCONGRUENT
adminucsftestbl,2019-05-20T22:21:26.119Z,2019-05-20T22:21:26.119Z,,default,3,1,B,NO,B,0,467,5000,YES,CONGRUENT
adminucsftestbl,2019-05-20T22:21:26.119Z,2019-05-20T22:21:26.119Z,,default,4,1,B,NO,B,0,417,5000,YES,CONGRUENT
adminucsftestbl,2019-05-20T22:21:26.119Z,2019-05-20T22:21:26.119Z,,default,5,1,B,NO,A,0,550,5000,YES,INCONGRUENT
adminucsftestbl,2019-05-20T22:21:40.580Z,2019-05-20T22:21:40.580Z,,default,0,1,A,YES,A,0,450,625,NO,CONGRUENT
adminucsftestbl,2019-05-20T22:21:40.580Z,2019-05-20T22:21:40.580Z,,default,1,1,A,YES,A,0,334,615,NO,CONGRUENT
adminucsftestbl,2019-05-20T22:21:40.580Z,2019-05-20T22:21:40.580Z,,default,2,1,A,YES,B,0,366,625,NO,INCONGRUENT
adminucsftestbl,2019-05-20T22:21:40.580Z,2019-05-20T22:21:40.580Z,,default,3,0,B,NO,A,1,684,615,YES,INCONGRUENT
