Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,RG Color Deficiency,Trial Correct,Trial Cue,Trial Response
ucsfww0003,2019-09-12T16:29:56.182Z,2019-09-12T16:29:56.182Z,,default,0,58.1782036,50.7249146,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,N/A,1,35,35
ucsfww0003,2019-09-12T16:29:56.182Z,2019-09-12T16:29:56.182Z,,default,1,58.1782036,50.7249146,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,N/A,1,6,6
ucsfww0003,2019-09-12T16:29:56.182Z,2019-09-12T16:29:56.182Z,,default,2,58.1782036,50.7249146,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,N/A,1,5,5
ucsfww0003,2019-09-12T16:29:56.182Z,2019-09-12T16:29:56.182Z,,default,3,58.1782036,50.7249146,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,N/A,1,97,97
ucsfww0003,2019-09-12T16:29:56.182Z,2019-09-12T16:29:56.182Z,,default,4,58.1782036,50.7249146,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,N/A,1,5,5
ucsfww0003,2019-09-12T16:29:56.182Z,2019-09-12T16:29:56.182Z,,default,5,58.1782036,50.7249146,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,N/A,1,12,12
ucsfww0003,2019-09-12T16:29:56.182Z,2019-09-12T16:29:56.182Z,,default,6,58.1782036,50.7249146,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,N/A,1,-1,-1
ucsfww0005,2019-09-12T16:31:50.812Z,2019-09-12T16:31:50.812Z,,default,0,58.3002472,47.69457,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,12,12
ucsfww0005,2019-09-12T16:31:50.812Z,2019-09-12T16:31:50.812Z,,default,1,58.3002472,47.69457,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,15,15
ucsfww0005,2019-09-12T16:31:50.812Z,2019-09-12T16:31:50.812Z,,default,2,58.3002472,47.69457,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,-1,-1
ucsfww0005,2019-09-12T16:31:50.812Z,2019-09-12T16:31:50.812Z,,default,3,58.3002472,47.69457,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,5,5
ucsfww0005,2019-09-12T16:31:50.812Z,2019-09-12T16:31:50.812Z,,default,4,58.3002472,47.69457,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,2,2
ucsfww0005,2019-09-12T16:31:50.812Z,2019-09-12T16:31:50.812Z,,default,5,58.3002472,47.69457,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,6,6
ucsfww0005,2019-09-12T16:31:50.812Z,2019-09-12T16:31:50.812Z,,default,6,58.3002472,47.69457,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,96,96
ucsfww0007,2019-09-12T16:27:17.230Z,2019-09-12T16:27:17.230Z,,default,0,57.2050247,74.92681,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,-1,57
ucsfww0007,2019-09-12T16:27:17.230Z,2019-09-12T16:27:17.230Z,,default,1,57.2050247,74.92681,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,15,57
ucsfww0007,2019-09-12T16:27:17.230Z,2019-09-12T16:27:17.230Z,,default,2,57.2050247,74.92681,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,2,57
ucsfww0007,2019-09-12T16:27:17.230Z,2019-09-12T16:27:17.230Z,,default,3,57.2050247,74.92681,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,5,57
ucsfww0007,2019-09-12T16:27:17.230Z,2019-09-12T16:27:17.230Z,,default,4,57.2050247,74.92681,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,12,57
ucsfww0007,2019-09-12T16:27:17.230Z,2019-09-12T16:27:17.230Z,,default,5,57.2050247,74.92681,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,29,57
ucsfww0007,2019-09-12T16:27:17.230Z,2019-09-12T16:27:17.230Z,,default,6,57.2050247,74.92681,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,96,57
