Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Object Count,Point 0 RT,Point 1 RT,Point 10 RT,Point 11 RT,Point 12 RT,Point 13 RT,Point 14 RT,Point 2 RT,Point 3 RT,Point 4 RT,Point 5 RT,Point 6 RT,Point 7 RT,Point 8 RT,Point 9 RT,Response Time,Response Window,Stimulus Array Time,Tap 0 RT,Tap 1 RT,Tap 10 RT,Tap 11 RT,Tap 12 RT,Tap 13 RT,Tap 14 RT,Tap 2 RT,Tap 3 RT,Tap 4 RT,Tap 5 RT,Tap 6 RT,Tap 7 RT,Tap 8 RT,Tap 9 RT,Total Taps
ucsfww0005,2019-09-12T16:46:18.554Z,2019-09-12T16:46:18.554Z,,default,0,57.8228836,61.83894,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{99, 293}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2167,-1,4000,1283,400,N/A,N/A,N/A,N/A,N/A,484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0005,2019-09-12T16:46:18.554Z,2019-09-12T16:46:18.554Z,,default,1,57.8228836,61.83894,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{456, 183}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{591, 244}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1500,-1,4000,683,400,N/A,N/A,N/A,N/A,N/A,417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0005,2019-09-12T16:46:18.554Z,2019-09-12T16:46:18.554Z,,default,2,57.8228836,61.83894,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,4,"{456, 183}","{99, 293}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,N/A,5267,-1,5000,417,467,N/A,N/A,N/A,N/A,N/A,1133,3250,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,0,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{99, 293}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016,-1,4000,950,516,N/A,N/A,N/A,N/A,N/A,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,1,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{456, 183}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{591, 244}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1767,-1,4000,734,467,N/A,N/A,N/A,N/A,N/A,566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,2,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,4,"{456, 183}","{99, 293}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,N/A,2850,-1,5000,866,617,N/A,N/A,N/A,N/A,N/A,800,567,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,3,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,4,"{249, 41}","{640, 122}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{49, 102}",N/A,N/A,N/A,N/A,N/A,N/A,1451,-1,5000,484,617,N/A,N/A,N/A,N/A,N/A,350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,4,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,4,"{99, 293}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{230, 224}","{249, 41}",N/A,N/A,N/A,N/A,N/A,N/A,2366,-1,5000,750,766,N/A,N/A,N/A,N/A,N/A,400,450,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,5,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,4,"{230, 224}","{99, 293}",N/A,N/A,N/A,N/A,N/A,"{446, 61}","{249, 41}",N/A,N/A,N/A,N/A,N/A,N/A,2584,-1,5000,850,450,N/A,N/A,N/A,N/A,N/A,717,567,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,6,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,4,"{230, 224}","{427, 315}",N/A,N/A,N/A,N/A,N/A,"{446, 61}","{49, 102}",N/A,N/A,N/A,N/A,N/A,N/A,1900,-1,5000,184,633,N/A,N/A,N/A,N/A,N/A,550,533,N/A,N/A,N/A,N/A,N/A,N/A,4
