participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,name,inter_time_interval,response_time,response_window,late_response,correct_button
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,0,DG-03-TR-020,500,347.5469947,500,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Right,0,DG-03-TR-020,500,500,500,0,0
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,1,DG-03-TR-020,500,327.894032,490,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Right,1,DG-03-TR-020,,,,,0
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,2,DG-03-TR-020,500,372.8470206,480,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Right,2,DG-03-TR-020,540,251.5249848,540,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,3,DG-03-TR-020,500,321.821034,460,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Right,3,DG-03-TR-020,540,285.2230072,530,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,4,DG-03-TR-020,500,356.9369912,420,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Right,4,DG-03-TR-020,540,273.8059759,520,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,5,DG-03-TR-020,500,334.3439698,340,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Right,5,DG-03-TR-020,540,259.411037,500,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,6,DG-03-TR-020,500,319.0100193,180,1,0
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Right,6,DG-03-TR-020,540,297.5389957,460,0,1
ADMIN-UCSF-,2017-06-19 20:52:22+00:00,2017-06-19 21:06:39+00:00,,Left,7,DG-03-TR-020,500,360.3530526,220,1,0
