Trial ID, Session ID, User ID, Question ID, Question Text, Question Type, User Answer, Correct Answer, Response Time, Button Response 1, Button Response 2, Button Response 3, Button Response 4, Button Response Submit, Trial Onset, Feedback Onset, Current Date, Current Year, Current Time, Current Time MS, Semester, Grade, Age, Handedness, Gender, SEAGroup, iPad Number, Math Recall Array, Math Verification Array, Math Recall Orientation
0, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 0, 5 + 4 = 21, Arithmetic Verification, False, false, 2150.0, None, None, None, None, None, 0.0, 2151.0, May 14, 2018, 10:35:11 AM, 38111000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
1, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 1, 2 + 6 = 8, Arithmetic Verification, True, true, 1929.0, None, None, None, None, None, 2903.0, 4834.0, May 14, 2018, 10:35:13 AM, 38113000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
2, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 2, 6 + 2 = 13, Arithmetic Verification, No Answer, false, 4002.0, None, None, None, None, None, 5586.0, 9589.0, May 14, 2018, 10:35:18 AM, 38118000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
3, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 3, 3 + 5 = 15, Arithmetic Verification, False, false, 3526.0, None, None, None, None, None, 10340.0, 13867.0, May 14, 2018, 10:35:22 AM, 38122000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
4, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 4, 2 + 4 = 10, Arithmetic Verification, False, false, 2597.0, None, None, None, None, None, 14619.0, 17217.0, May 14, 2018, 10:35:26 AM, 38126000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
5, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 5, 5 + 6 = 11, Arithmetic Verification, True, true, 2547.0, None, None, None, None, None, 17969.0, 20518.0, May 14, 2018, 10:35:29 AM, 38129000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
6, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 6, 4 + 2 = 8, Arithmetic Verification, False, false, 3082.0, None, None, None, None, None, 21270.0, 24353.0, May 14, 2018, 10:35:33 AM, 38133000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
7, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 7, 2 + 3 = 5, Arithmetic Verification, True, true, 2963.0, None, None, None, None, None, 25105.0, 28068.0, May 14, 2018, 10:35:37 AM, 38137000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
8, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 8, 2 + 5 = 7, Arithmetic Verification, True, true, 3189.0, None, None, None, None, None, 28820.0, 32011.0, May 14, 2018, 10:35:41 AM, 38141000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
9, 45ede1d54690874223a33cdcad56235f, ADMIN-UCSF-la120, 9, 2 + 6 = 12, Arithmetic Verification, False, false, 3531.0, None, None, None, None, None, 32762.0, 36295.0, May 14, 2018, 10:35:45 AM, 38145000, Spring, Third, 10, Right, Male, Group A, 87, None, 2b, None
