Trial ID, Session ID, User ID, Question ID, Question Text, Question Type, User Answer, Correct Answer, Response Time, Button Response 1, Button Response 2, Button Response 3, Button Response 4, Button Response Submit, Trial Onset, Feedback Onset, Current Date, Current Year, Current Time, Current Time MS, Semester, Grade, Age, Handedness, Gender, SEAGroup, iPad Number, Math Recall Array, Math Verification Array, Math Recall Orientation
0, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 0, 5 + 4 = 21, Arithmetic Verification, False, false, 1638.0, None, None, None, None, None, 0.0, 1639.0, May 12, 2017, 8:56:12 AM, 32172000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
1, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 1, 2 + 6 = 8, Arithmetic Verification, False, true, 1754.0, None, None, None, None, None, 2395.0, 4150.0, May 12, 2017, 8:56:14 AM, 32174000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
2, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 2, 6 + 2 = 13, Arithmetic Verification, False, false, 1184.0, None, None, None, None, None, 4902.0, 6086.0, May 12, 2017, 8:56:16 AM, 32176000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
3, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 3, 3 + 5 = 15, Arithmetic Verification, False, false, 1227.0, None, None, None, None, None, 6838.0, 8066.0, May 12, 2017, 8:56:18 AM, 32178000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
4, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 4, 2 + 4 = 10, Arithmetic Verification, False, false, 1084.0, None, None, None, None, None, 8819.0, 9904.0, May 12, 2017, 8:56:20 AM, 32180000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
5, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 5, 5 + 6 = 11, Arithmetic Verification, True, true, 1126.0, None, None, None, None, None, 10656.0, 11783.0, May 12, 2017, 8:56:22 AM, 32182000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
6, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 6, 4 + 2 = 8, Arithmetic Verification, True, false, 1101.0, None, None, None, None, None, 12536.0, 13638.0, May 12, 2017, 8:56:24 AM, 32184000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
7, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 7, 2 + 3 = 5, Arithmetic Verification, True, true, 1092.0, None, None, None, None, None, 14390.0, 15483.0, May 12, 2017, 8:56:26 AM, 32186000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
8, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 8, 2 + 5 = 7, Arithmetic Verification, False, true, 1031.0, None, None, None, None, None, 16234.0, 17267.0, May 12, 2017, 8:56:28 AM, 32188000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
9, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 9, 2 + 6 = 12, Arithmetic Verification, True, false, 1563.0, None, None, None, None, None, 18019.0, 19584.0, May 12, 2017, 8:56:30 AM, 32190000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
